axis,dataset,x,size,n_cells,r,train_path_over_geo,shell,temperature,p_obs,success,valid,reached,len_ratio,len_over_geo,val_success,n_params,pos_linear,pos_relu_2500,pos_spline_2500,pos_gap_2500,pos_relu_10000,pos_spline_10000,pos_gap_10000,pos_sae,dir_linear,dir_relu_2500,dir_spline_2500,dir_gap_2500,dir_relu_10000,dir_spline_10000,dir_gap_10000,dir_sae
density,ring_n40k,40000.0,L6_d256,2123,0.25,1.0,0.0,0.0,0.0,0.996,0.996,0.999,1.0114468786103454,1.0114468786103454,0.997,5294336,0.6222009062767029,0.67216557264328,0.7072307467460632,0.0350651741027832,0.7631350159645081,0.8009807467460632,0.037845730781555176,0.7973170876502991,0.210969939827919,0.2556326389312744,0.268585205078125,0.012952566146850586,0.33658328652381897,0.3023432195186615,-0.03424006700515747,0.37861838936805725
depth,ring_d4,4.0,L3_d64,456,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9972616787714215,0.9972616787714215,1.0,181184,0.6636030077934265,0.9228140711784363,0.8912280201911926,-0.03158605098724365,0.9643914699554443,0.9694228172302246,0.0050313472747802734,0.9764983654022217,0.23887567222118378,0.5236895084381104,0.4554220736026764,-0.06826743483543396,0.6604929566383362,0.6209513545036316,-0.03954160213470459,0.6516690850257874
depth,ring_d4,4.0,L6_d256,456,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.001024208393192,1.001024208393192,1.0,4860416,0.6713128089904785,0.7529897689819336,0.7853959202766418,0.03240615129470825,0.8477337956428528,0.8708518147468567,0.023118019104003906,0.8974294066429138,0.2362719029188156,0.32811132073402405,0.33488965034484863,0.006778329610824585,0.4554192125797272,0.4280581474304199,-0.02736106514930725,0.5349848866462708
depth,ring_r025,5.0,L3_d64,1926,0.25,1.0,0.0,0.0,0.0,0.987,0.989,0.995,1.0270824455543817,1.0270824455543817,0.986,276608,0.5278158783912659,0.7822299599647522,0.7409289479255676,-0.04130101203918457,0.8758528232574463,0.8821393847465515,0.006286561489105225,0.9173890948295593,0.19295088946819305,0.3579220771789551,0.30843257904052734,-0.049489498138427734,0.49827221035957336,0.4431636333465576,-0.05510857701301575,0.48304644227027893
depth,ring_r025,5.0,L6_d256,1926,0.25,1.0,0.0,0.0,0.0,0.995,0.996,0.999,1.0064598745283595,1.0064598745283595,0.997,5242112,0.6587861180305481,0.7227478623390198,0.7592213749885559,0.03647351264953613,0.7934265732765198,0.8341681361198425,0.040741562843322754,0.8364853858947754,0.24905067682266235,0.29775968194007874,0.30611559748649597,0.008355915546417236,0.3912823498249054,0.3616425096988678,-0.029639840126037598,0.44407495856285095
depth,ring_d6,6.0,L3_d64,5369,0.25,1.0,0.0,0.0,0.0,0.367,0.379,0.386,1.3120682320903185,1.3120682320903185,0.381,498176,0.22378449141979218,0.5125043392181396,0.4932800233364105,-0.019224315881729126,0.7155010104179382,0.7275282740592957,0.012027263641357422,0.7946140170097351,0.009395022876560688,0.11243436485528946,0.07069206237792969,-0.04174230247735977,0.22659318149089813,0.18416641652584076,-0.04242676496505737,0.20067907869815826
depth,ring_d6,6.0,L6_d256,5369,0.25,1.0,0.0,0.0,0.0,0.987,0.988,0.998,1.0820935620349073,1.0820935620349073,0.989,6128384,0.6185094118118286,0.6838068962097168,0.6931338906288147,0.0093269944190979,0.7230472564697266,0.7678871154785156,0.04483985900878906,0.6591833233833313,0.2866280972957611,0.33300259709358215,0.3356660306453705,0.00266343355178833,0.36989501118659973,0.3633691370487213,-0.006525874137878418,0.3755345046520233
shell,ring_r025,0.0,L3_d64,1926,0.25,1.0,0.0,0.0,0.0,0.987,0.989,0.995,1.0270824455543817,1.0270824455543817,0.986,276608,0.5278158783912659,0.7822299599647522,0.7409289479255676,-0.04130101203918457,0.8758528232574463,0.8821393847465515,0.006286561489105225,0.9173890948295593,0.19295088946819305,0.3579220771789551,0.30843257904052734,-0.049489498138427734,0.49827221035957336,0.4431636333465576,-0.05510857701301575,0.48304644227027893
shell,ring_r025,0.0,L6_d256,1926,0.25,1.0,0.0,0.0,0.0,0.995,0.996,0.999,1.0064598745283595,1.0064598745283595,0.997,5242112,0.6587861180305481,0.7227478623390198,0.7592213749885559,0.03647351264953613,0.7934265732765198,0.8341681361198425,0.040741562843322754,0.8364853858947754,0.24905067682266235,0.29775968194007874,0.30611559748649597,0.008355915546417236,0.3912823498249054,0.3616425096988678,-0.029639840126037598,0.44407495856285095
shell,ring_shell015,0.15,L3_d64,2380,0.25,1.0,0.15,0.0,0.0,0.991,0.992,0.997,1.0359355918917357,1.0359355918917357,0.991,305664,0.48247966170310974,0.7788394093513489,0.7386478781700134,-0.04019153118133545,0.8726093173027039,0.8797668814659119,0.007157564163208008,0.9126257300376892,0.17124025523662567,0.36773061752319336,0.31388163566589355,-0.053848981857299805,0.5037752985954285,0.46163973212242126,-0.0421355664730072,0.498011976480484
