shape,family,max_acc,max_params,params@0.95,params@0.98,params@0.99,params@0.995
single_ring,spline3,1.0,3683,89.0,175.0,233.0,233.0
sphere_skeleton,mlp2,0.9779996871948242,4611,1283.0,,,
sphere_skeleton,relu1,0.9752265214920044,14339,1795.0,,,
sphere_skeleton,sae,0.9628397226333618,14339,899.0,,,
sphere_skeleton,sae_weak,0.9741172194480896,14339,899.0,,,
sphere_skeleton,spline1,0.9902015328407288,3299,223.0,499.0,995.0,
sphere_skeleton,spline3,0.9935293197631836,3683,463.0,463.0,923.0,
stacked_equal_sign_two,mlp2,0.9906244874000548,4611,387.0,1283.0,2691.0,
stacked_equal_sign_two,relu1,0.9837254881858826,14339,899.0,3587.0,,
stacked_equal_sign_two,sae,0.9791261553764344,14339,451.0,,,
stacked_equal_sign_two,sae_weak,0.983902394771576,14339,451.0,1795.0,,
stacked_equal_sign_two,spline1,0.9945161938667296,3299,251.0,499.0,883.0,
stacked_equal_sign_two,spline3,0.9969927668571472,3683,175.0,271.0,347.0,923.0
