shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,stop_step,seconds
keyring_1,sae,"{""m"": 4}",0,31,15000,0.005,0.579251229763031,0.577151894569397,0.5893805027008057,0.9087874889373779,0.0,0.043879907578229904,0.981208086013794,0.8575498461723328,0.0,0.7879002094268799,0.5751702785491943,0.08887334167957306,5800,8800,16.3
keyring_1,sae,"{""m"": 8}",0,59,15000,0.005,0.6555283665657043,0.6537788510322571,0.7667256593704224,0.8737486004829407,0.0,0.07621247321367264,0.9731544256210327,0.803418755531311,0.0,0.6795632243156433,0.647614061832428,0.3705607056617737,3300,6300,10.4
keyring_1,sae,"{""m"": 16}",0,115,15000,0.005,0.7458012700080872,0.7477257251739502,0.8155751824378967,0.7825360894203186,0.5150960683822632,0.20554272830486298,0.6805369257926941,0.8547008037567139,0.0063492064364254475,0.5570599436759949,0.7404900789260864,0.3230733871459961,2700,5700,9.6
keyring_1,sae,"{""m"": 32}",0,227,15000,0.005,0.7697690725326538,0.7585724592208862,0.8038938045501709,0.7953280806541443,0.5809698104858398,0.1939953863620758,0.718120813369751,0.8499525189399719,0.06031746044754982,0.5357426404953003,0.7635722756385803,0.16851820051670074,2900,5900,9.9
keyring_1,sae,"{""m"": 64}",0,451,15000,0.005,0.9252974390983582,0.9245976209640503,0.9398229718208313,0.964961051940918,0.8188471794128418,0.41108545660972595,0.9382550716400146,0.9838556051254272,0.7650793790817261,0.22035565972328186,0.9269211292266846,0.23051248490810394,12800,15000,35.8
keyring_1,sae,"{""m"": 128}",0,899,15000,0.005,0.9543387293815613,0.9578376412391663,0.9635397791862488,0.9860956072807312,0.8966147899627686,0.593533456325531,0.9704698324203491,0.9971509575843811,0.8317460417747498,0.13383415341377258,0.9555657505989075,0.17950981855392456,11900,14900,51.9
keyring_1,sae,"{""m"": 256}",0,1795,15000,0.005,0.9585374593734741,0.9602869153022766,0.964955747127533,0.9911012053489685,0.8975297212600708,0.5981523990631104,0.9785235524177551,1.0,0.841269850730896,0.12603287398815155,0.9601427912712097,0.13853314518928528,12100,15000,79.8
keyring_1,sae,"{""m"": 512}",0,3587,15000,0.005,0.966060221195221,0.9678096771240234,0.9727433323860168,0.9922135472297668,0.9149130582809448,0.6836027503013611,0.9838926792144775,0.9981006383895874,0.8603174686431885,0.1006632000207901,0.9684208035469055,0.089140884578228,13700,15000,132.3
keyring_1,sae,"{""m"": 1024}",0,7171,15000,0.005,0.9620364308357239,0.963261067867279,0.9684955477714539,0.9860956072807312,0.9121683239936829,0.6743648648262024,0.9731544256210327,0.9952516555786133,0.8285714387893677,0.11399451643228531,0.9645007848739624,0.03833110257983208,14300,15000,228.4
keyring_1,sae,"{""m"": 2048}",0,14339,15000,0.005,0.9580126404762268,0.9609867334365845,0.9699114561080933,0.982202410697937,0.9030191898345947,0.6836027503013611,0.9610738754272461,0.9971509575843811,0.8190476298332214,0.11933739483356476,0.9627050161361694,0.022598128765821457,14600,15000,438.9
keyring_1,sae_weak,"{""m"": 4}",0,31,15000,0.005,0.579251229763031,0.577151894569397,0.5893805027008057,0.9087874889373779,0.0,0.043879907578229904,0.981208086013794,0.8575498461723328,0.0,0.7879276275634766,0.5752140879631042,0.08887334167957306,5700,8700,14.9
keyring_1,sae_weak,"{""m"": 8}",0,59,15000,0.005,0.6583275198936462,0.6606018543243408,0.7730973362922668,0.8854281902313232,0.0,0.06928406655788422,0.9731544256210327,0.8233618140220642,0.0,0.6735020279884338,0.6544904708862305,0.36262246966362,3200,6200,10.5
keyring_1,sae_weak,"{""m"": 16}",0,115,15000,0.005,0.7230581045150757,0.7143107056617737,0.8035398125648499,0.6746384501457214,0.5489478707313538,0.20092378556728363,0.6174497008323669,0.7150996923446655,0.13650794327259064,0.5937555432319641,0.7129842638969421,0.44162219762802124,3400,6400,10.7
keyring_1,sae_weak,"{""m"": 32}",0,227,15000,0.005,0.8122813105583191,0.8133310079574585,0.8322123885154724,0.8426028490066528,0.7163769602775574,0.2655889093875885,0.7973154783248901,0.874643862247467,0.2571428716182709,0.4394489824771881,0.8133499622344971,0.27673962712287903,10200,13200,24.4
keyring_1,sae_weak,"{""m"": 64}",0,451,15000,0.005,0.9141007661819458,0.9130511283874512,0.9359291791915894,0.9410455822944641,0.807868242263794,0.3718244731426239,0.8979865908622742,0.9715099334716797,0.7174603343009949,0.24254627525806427,0.9161465167999268,0.3326244354248047,13700,15000,35.7
keyring_1,sae_weak,"{""m"": 128}",0,899,15000,0.005,0.9492652416229248,0.949090301990509,0.9589380621910095,0.9794215559959412,0.8737419843673706,0.531177818775177,0.9570470452308655,0.9952516555786133,0.8539682626724243,0.15876497328281403,0.9501346945762634,0.32396453619003296,14200,15000,52.4
keyring_1,sae_weak,"{""m"": 256}",0,1795,15000,0.005,0.9594122171401978,0.9594122171401978,0.9646017551422119,0.9905450344085693,0.8947849869728088,0.5842956304550171,0.9771812558174133,1.0,0.841269850730896,0.12805384397506714,0.9605150818824768,0.30906665325164795,11800,14800,79.0
keyring_1,sae_weak,"{""m"": 512}",0,3587,15000,0.005,0.9688593745231628,0.9706088304519653,0.9727433323860168,0.992769718170166,0.9286367893218994,0.6720554232597351,0.9825503826141357,1.0,0.9079365134239197,0.0958125963807106,0.9719904661178589,0.23839230835437775,14400,15000,132.4
keyring_1,sae_weak,"{""m"": 1024}",0,7171,15000,0.005,0.9716585278511047,0.974982500076294,0.9791150093078613,0.9944382309913635,0.9322964549064636,0.7090069055557251,0.9865772128105164,1.0,0.9015873074531555,0.08080726116895676,0.9781880378723145,0.14699947834014893,14800,15000,228.6
keyring_1,sae_weak,"{""m"": 2048}",0,14339,15000,0.005,0.9767320156097412,0.9770818948745728,0.9812389016151428,0.9944382309913635,0.9377859234809875,0.7321016192436218,0.9865772128105164,1.0,0.9111111164093018,0.07020223885774612,0.983422040939331,0.09857002645730972,14000,15000,437.3
keyring_1,relu1,"{""m"": 4}",0,31,15000,0.005,0.579251229763031,0.577151894569397,0.5893805027008057,0.9087874889373779,0.0,0.043879907578229904,0.981208086013794,0.8575498461723328,0.0,0.7879200577735901,0.5751921534538269,0.08887334167957306,5700,8700,13.2
keyring_1,relu1,"{""m"": 8}",0,59,15000,0.005,0.6555283665657043,0.6551784873008728,0.7833628058433533,0.8520578145980835,0.0,0.09468822181224823,0.9691275358200073,0.7692307233810425,0.0,0.682871401309967,0.6475921273231506,0.38831788301467896,1700,5000,7.5
keyring_1,relu1,"{""m"": 16}",0,115,15000,0.005,0.7683694958686829,0.7666200399398804,0.8254867196083069,0.7680755853652954,0.6120768785476685,0.21478059887886047,0.6791946291923523,0.830959141254425,0.18730159103870392,0.5296267867088318,0.7660468816757202,0.4206613004207611,5900,8900,11.9
keyring_1,relu1,"{""m"": 32}",0,227,15000,0.005,0.8101819753646851,0.8079076409339905,0.8623008728027344,0.8248053193092346,0.6395242214202881,0.2032332569360733,0.7221477031707764,0.8974359035491943,0.08253968507051468,0.4536178410053253,0.8079407811164856,0.29940080642700195,8600,11600,15.7
keyring_1,relu1,"{""m"": 64}",0,451,15000,0.005,0.831175684928894,0.8299510478973389,0.8538053035736084,0.8626251220703125,0.7145470976829529,0.3094688057899475,0.7879195213317871,0.9154795408248901,0.26031747460365295,0.41019678115844727,0.833059549331665,0.36770689487457275,11800,14800,25.2
keyring_1,relu1,"{""m"": 128}",0,899,15000,0.005,0.9254723787307739,0.9279216527938843,0.9451327323913574,0.9655172228813171,0.8215919733047485,0.39491915702819824,0.9328859448432922,0.988603949546814,0.7682539820671082,0.220855712890625,0.9271620512008667,0.4880817234516144,13300,15000,36.9
keyring_1,relu1,"{""m"": 256}",0,1795,15000,0.005,0.9452414512634277,0.9510146975517273,0.9582300782203674,0.9838709235191345,0.8783165812492371,0.517320990562439,0.9744966626167297,0.9905033111572266,0.8253968358039856,0.16475997865200043,0.9481636881828308,0.48342305421829224,14400,15000,53.1
