num_functions,num_edges,num_indep_funcs,presence_+-,presence_><,presence_][,max_control,dag_equivalence_class,labeled_graph_hash,tt_size_4_count,tt_size_4_OR,tt_size_8_count,tt_size_8_tt_sym_0,tt_size_8_tt_sym_1,tt_size_8_tt_sym_2,tt_size_4_XOR,tt_size_2_count,tt_size_2_tt_sym_0,tt_size_2_balanced,tt_size_4_NOT_A_OR_B,tt_size_4_A_OR_NOT_B,tt_size_8_balanced,tt_size_4_XNOR,tt_size_4_NAND,tt_size_4_NOR,tt_size_4_NOT_A_AND_B,tt_size_4_AND,tt_size_4_A_AND_NOT_B
3,other,0,1,0,0,3,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,2.0,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,ecf3823d5a4d59543a2935b66fbdec06,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,409ada3bfac14717c01a3243ae9aa9cf,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,2.0,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,908ccf0f892726fb19d2fdbb5589e828,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,2.0
3,other,0,1,0,0,3,a69d8d31196ad888a5bf41504c03de86,other,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,4f3172f580a4b9d9873dda9a5ccccdb0,1.0,other,2.0,3.0,3.0,3.0,other,other,other,other,other,other,2.0,other,2.0,other,other,other,other
3,8,0,1,0,0,3,67d4c61d1d0b4878f2fe5d9b66186db9,f09452872f697d712d7d224467288261,1.0,2.0,2.0,3.0,3.0,3.0,other,other,other,other,other,other,other,other,other,other,other,other,other
3,8,0,1,0,0,3,70e1d4e118d076514296ccf0f2db8f71,ef0aa4d7d32eef317e002853a776a147,1.0,other,2.0,3.0,3.0,3.0,2.0,other,other,other,other,other,other,other,other,other,other,other,other
3,other,0,1,0,0,3,other,other,other,other,2.0,3.0,3.0,3.0,other,1.0,2.0,2.0,other,other,2.0,other,other,other,other,other,other
