shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,seconds
single_ring,sae,"{""m"": 2}",0,17,3000,0.005,0.40904292464256287,0.40225234627723694,0.6802120208740234,0.4144444465637207,0.0,0.2964824140071869,0.5051282048225403,0.3450980484485626,0.48695650696754456,1.0463029146194458,0.4100750982761383,0.499032199382782,500,4.4
single_ring,sae,"{""m"": 2}",1,17,3000,0.005,0.40869104862213135,0.41668134927749634,0.32994699478149414,0.9005555510520935,0.0,0.08877722173929214,1.0,0.824509859085083,0.0,1.0056763887405396,0.41055822372436523,0.09334858506917953,750,3.3
single_ring,sae,"{""m"": 4}",0,31,3000,0.005,0.4236453175544739,0.42794299125671387,0.45494699478149414,0.0,0.8659666776657104,0.5376884341239929,0.0,0.0,0.3108695447444916,1.0035200119018555,0.42597392201423645,0.0963839516043663,850,3.2
single_ring,sae,"{""m"": 4}",1,31,3000,0.005,0.6038001179695129,0.5995073318481445,0.5322438478469849,0.495555579662323,0.8091414570808411,0.42378559708595276,0.5743589997291565,0.43529415130615234,0.030434781685471535,0.8421309590339661,0.6019368767738342,0.2900756597518921,1200,3.3
single_ring,sae,"{""m"": 8}",0,59,3000,0.005,0.6838493943214417,0.6911842226982117,0.6179328560829163,0.6622222661972046,0.8258184194564819,0.40871021151542664,0.7435897588729858,0.6000000238418579,0.0,0.6997243165969849,0.684131920337677,0.23724265396595,2750,3.1
single_ring,sae,"{""m"": 8}",1,59,3000,0.005,0.644792377948761,0.651592493057251,0.6303003430366516,0.5344444513320923,0.8116121292114258,0.4388609528541565,0.6153846383094788,0.47254905104637146,0.03695651888847351,0.7582665085792542,0.6490623354911804,0.2900976538658142,2600,3.8
single_ring,sae,"{""m"": 16}",0,115,3000,0.005,0.7501758933067322,0.7418617010116577,0.6784452199935913,0.722777783870697,0.8517603874206543,0.48073700070381165,0.720512866973877,0.7245098352432251,0.0,0.6460106372833252,0.7493302226066589,0.2655177712440491,2700,3.9
single_ring,sae,"{""m"": 16}",1,115,3000,0.005,0.6937016248703003,0.6989266276359558,0.8418728113174438,0.5766666531562805,0.634959876537323,0.3216080367565155,0.4910256564617157,0.6421568989753723,0.8108695149421692,0.6504019498825073,0.6916860938072205,0.29303404688835144,2750,3.3
single_ring,sae,"{""m"": 32}",0,227,3000,0.005,0.7776213884353638,0.7775822877883911,0.7292402982711792,0.772777795791626,0.8505250215530396,0.49246230721473694,0.7192307710647583,0.8137255311012268,0.0,0.5848993062973022,0.7790197134017944,0.15338510274887085,2800,3.2
single_ring,sae,"{""m"": 32}",1,227,3000,0.005,0.8909218311309814,0.883864164352417,0.8608657121658325,0.9238889217376709,0.8715256452560425,0.2981574535369873,0.8589743971824646,0.9735294580459595,0.8195651769638062,0.34162139892578125,0.8909262418746948,0.3649865984916687,2650,3.2
single_ring,sae,"{""m"": 64}",0,451,3000,0.005,0.9378958344459534,0.9377089738845825,0.9204947352409363,0.9905555844306946,0.9030265808105469,0.4539363384246826,0.978205144405365,1.0,0.9173912405967712,0.20196914672851562,0.9378760457038879,0.21214862167835236,2900,3.5
single_ring,sae,"{""m"": 64}",1,451,3000,0.005,0.9458127617835999,0.9431638121604919,0.9257950782775879,0.9988889098167419,0.9054972529411316,0.4673366844654083,0.9974359273910522,1.0,0.9282608032226562,0.18929778039455414,0.9461768269538879,0.2740575075149536,2600,3.6
single_ring,sae,"{""m"": 128}",0,899,3000,0.005,0.9551371932029724,0.9493225812911987,0.9310954213142395,1.0,0.9184682369232178,0.5175879597663879,1.0,1.0,0.9260869026184082,0.15536236763000488,0.9548069834709167,0.25299137830734253,2950,5.0
single_ring,sae,"{""m"": 128}",1,899,3000,0.005,0.9547853469848633,0.9519619941711426,0.9363957643508911,1.0,0.9203212261199951,0.5427135825157166,1.0,1.0,0.9413043260574341,0.14449046552181244,0.9577056765556335,0.238955557346344,2950,5.1
single_ring,sae,"{""m"": 256}",0,1795,3000,0.005,0.9591836333274841,0.9558331966400146,0.9421378374099731,1.0,0.9258801937103271,0.5795645117759705,1.0,1.0,0.9456521272659302,0.13733181357383728,0.9593087434768677,0.20039138197898865,2400,7.9
single_ring,sae,"{""m"": 256}",1,1795,3000,0.005,0.9572483897209167,0.9554812908172607,0.9412544369697571,1.0,0.9258801937103271,0.5762143731117249,1.0,1.0,0.9413043260574341,0.13565364480018616,0.960121214389801,0.2081722617149353,2800,7.8
single_ring,sae,"{""m"": 512}",0,3587,3000,0.005,0.9634060263633728,0.9611120820045471,0.9483215808868408,1.0,0.9357628226280212,0.6298157572746277,1.0,1.0,0.9543477892875671,0.11739680916070938,0.9652817249298096,0.14796528220176697,2550,15.8
single_ring,sae,"{""m"": 512}",1,3587,3000,0.005,0.9605910778045654,0.9591765403747559,0.9474381804466248,1.0,0.9302038550376892,0.6113902926445007,1.0,1.0,0.9543477892875671,0.1240500956773758,0.9637006521224976,0.1318371444940567,2550,24.9
single_ring,sae,"{""m"": 1024}",0,7171,3000,0.005,0.9648134708404541,0.9604082703590393,0.9487632513046265,1.0,0.9326745271682739,0.623115599155426,1.0,1.0,0.9521738886833191,0.11517251282930374,0.9667969942092896,0.09791503846645355,2800,41.9
single_ring,sae,"{""m"": 1024}",1,7171,3000,0.005,0.9639338254928589,0.9605842232704163,0.9492049813270569,1.0,0.9326745271682739,0.624790608882904,1.0,1.0,0.9586955904960632,0.11728363484144211,0.9663797616958618,0.10379332304000854,2650,43.9
