shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,seconds
circle_border_3,sae_weak,"{""m"": 2}",0,17,3000,0.005,0.5218855142593384,0.519343912601471,1.0,0.0,0.0,0.47678571939468384,0.0,0.0,0.810234546661377,0.998979926109314,0.5216057896614075,0.8366019129753113,50,9.8
circle_border_3,sae_weak,"{""m"": 2}",1,17,3000,0.005,0.5231260061264038,0.5145302414894104,0.8904908895492554,0.1685912162065506,0.0,0.3821428716182709,0.14647886157035828,0.18395303189754486,0.6289978623390198,0.9377449750900269,0.5176512002944946,0.551702618598938,1750,8.1
circle_border_3,sae_weak,"{""m"": 4}",0,31,3000,0.005,0.5401382446289062,0.5355678200721741,0.9196704626083374,0.1876443475484848,0.0,0.40714284777641296,0.1943661868572235,0.18297456204891205,0.7164179086685181,0.9033921957015991,0.5289373397827148,0.275806725025177,400,7.8
circle_border_3,sae_weak,"{""m"": 4}",1,31,3000,0.005,0.5424419641494751,0.5389552712440491,0.8259525895118713,0.3562355637550354,0.0,0.30714285373687744,0.44647884368896484,0.2935420870780945,0.4221748411655426,0.8814892768859863,0.5386016368865967,0.3882153630256653,750,8.0
circle_border_3,sae_weak,"{""m"": 8}",0,59,3000,0.005,0.5266702175140381,0.5344981551170349,0.846549928188324,0.3071593642234802,0.0,0.32499998807907104,0.4647887051105499,0.19765165448188782,0.45628997683525085,0.899088978767395,0.5323143005371094,0.3914245069026947,200,8.1
circle_border_3,sae_weak,"{""m"": 8}",1,59,3000,0.005,0.5401382446289062,0.5430558323860168,0.8105046153068542,0.39549654722213745,0.0,0.2696428596973419,0.5169013738632202,0.3111546039581299,0.36886993050575256,0.8881950974464417,0.5437559485435486,0.5931316018104553,1300,8.0
circle_border_3,sae_weak,"{""m"": 16}",0,115,3000,0.005,0.6299840807914734,0.6329113841056824,0.7995193600654602,0.6478059887886047,0.10269710421562195,0.20178571343421936,0.657746434211731,0.640900194644928,0.2174840122461319,0.6992805004119873,0.6340227723121643,0.4212315082550049,2150,7.9
circle_border_3,sae_weak,"{""m"": 16}",1,115,3000,0.005,0.5610491037368774,0.5578534603118896,0.6628904938697815,0.6605080962181091,0.056016601622104645,0.16249999403953552,0.766197144985199,0.587084174156189,0.05970149487257004,0.7941941022872925,0.5560196042060852,0.4761655330657959,2600,7.9
circle_border_3,sae_weak,"{""m"": 32}",0,227,3000,0.005,0.7306397557258606,0.7380994558334351,0.833848237991333,0.6864895820617676,0.541493833065033,0.36250001192092896,0.7253521084785461,0.6594911813735962,0.42430704832077026,0.5931638479232788,0.731576681137085,0.3381395936012268,3000,8.1
circle_border_3,sae_weak,"{""m"": 32}",1,227,3000,0.005,0.6707425117492676,0.6748083233833313,0.7957432270050049,0.6397228837013245,0.37240666151046753,0.3196428716182709,0.6464788317680359,0.6350293755531311,0.35820895433425903,0.6778885722160339,0.6675479412078857,0.5329381227493286,2750,7.9
circle_border_3,sae_weak,"{""m"": 64}",0,451,3000,0.005,0.8027644753456116,0.802638590335846,0.8791623711585999,0.7806004285812378,0.610995888710022,0.3946428596973419,0.7253521084785461,0.8189823627471924,0.6545842289924622,0.48925939202308655,0.8017595410346985,0.3878253698348999,3000,10.9
circle_border_3,sae_weak,"{""m"": 64}",1,451,3000,0.005,0.787347137928009,0.795150637626648,0.8719533085823059,0.7678983807563782,0.6120332479476929,0.40535715222358704,0.7338027954101562,0.7915851473808289,0.6375266909599304,0.5201368927955627,0.7869187593460083,0.4500245153903961,2500,11.1
