shape,family,size,seed,n_params,steps,lr,val_acc,test_acc,test_acc_exterior,test_acc_surface,test_acc_interior,test_acc_near,test_acc_surface_Kneg,test_acc_surface_Kpos,test_acc_cavity,test_loss,train_acc,sparsity,best_step,seconds
double_touching_in_plane,sae,"{""m"": 2}",0,17,3000,0.005,0.46815621852874756,0.46356451511383057,0.891804575920105,0.23944444954395294,0.0,0.41186439990997314,0.18679949641227722,0.2818455398082733,0.9264448285102844,1.0482624769210815,0.45995253324508667,0.6359086632728577,250,4.4
double_touching_in_plane,sae,"{""m"": 2}",1,17,3000,0.005,0.4350809156894684,0.43494293093681335,1.0,0.0,0.0,0.5389830470085144,0.0,0.0,1.0,1.0731117725372314,0.42968612909317017,0.6100965738296509,50,3.2
double_touching_in_plane,sae,"{""m"": 4}",0,31,3000,0.005,0.45267415046691895,0.44495171308517456,0.7674606442451477,0.3516666889190674,0.0,0.3271186351776123,0.31133249402046204,0.38415247201919556,0.7618213295936584,1.0452814102172852,0.4423685669898987,0.18134327232837677,200,3.0
double_touching_in_plane,sae,"{""m"": 4}",1,31,3000,0.005,0.4862772524356842,0.4830552935600281,0.7214372158050537,0.15944445133209229,0.4774330258369446,0.46949151158332825,0.20797011256217957,0.1203610822558403,0.2539404630661011,0.9565882682800293,0.4883286654949188,0.5476734042167664,2750,3.2
double_touching_in_plane,sae,"{""m"": 8}",0,59,3000,0.005,0.5830401182174683,0.5755926370620728,0.5361323952674866,0.5172222256660461,0.7186177968978882,0.33898305892944336,0.6014943718910217,0.4493480324745178,0.12959720194339752,0.8526347279548645,0.5830183029174805,0.3064749836921692,2900,3.1
double_touching_in_plane,sae,"{""m"": 8}",1,59,3000,0.005,0.598698079586029,0.5906935930252075,0.5853855609893799,0.5433333516120911,0.6600846648216248,0.35423728823661804,0.6637609004974365,0.4463390111923218,0.06654991209506989,0.8420376181602478,0.6007121801376343,0.43217733502388,2600,3.9
double_touching_in_plane,sae,"{""m"": 16}",0,115,3000,0.005,0.6094299554824829,0.595961332321167,0.5700443983078003,0.5022222399711609,0.7602257132530212,0.345762699842453,0.5865504145622253,0.4343029260635376,0.061295971274375916,0.8183345198631287,0.6072841882705688,0.3237379193305969,2650,4.4
double_touching_in_plane,sae,"{""m"": 16}",1,115,3000,0.005,0.6300140619277954,0.632133424282074,0.6693580746650696,0.5022222399711609,0.732016921043396,0.4000000059604645,0.5952677130699158,0.42728185653686523,0.1733800321817398,0.760773241519928,0.6350228786468506,0.38143107295036316,2750,3.3
double_touching_in_plane,sae,"{""m"": 32}",0,227,3000,0.005,0.6801548004150391,0.6751536130905151,0.7089220881462097,0.5816667079925537,0.7348378300666809,0.3847457468509674,0.5840597748756409,0.5797392129898071,0.3082311749458313,0.6933935880661011,0.6835326552391052,0.2727831304073334,2900,3.1
double_touching_in_plane,sae,"{""m"": 32}",1,227,3000,0.005,0.6931738257408142,0.7009657621383667,0.7327411770820618,0.6050000190734863,0.7672778964042664,0.37796610593795776,0.6214196681976318,0.5917753577232361,0.5656742453575134,0.6671302914619446,0.7000395655632019,0.2610897719860077,2950,3.2
